id,LamisQuestion,LamisAnswer,nmrsconceptid,nmrsanswerid
53,ART First Line Adult,AZT-3TC-NVP,164506,1652
53,ART First Line Adult,AZT-TDF-NVP,164506,166185
53,ART First Line Adult,D4T-3TC-ABC,164506,166183
53,ART First Line Adult,D4T-3TC-EFV,164506,160104
53,ART First Line Adult,D4T-3TC-NVP,164506,792
53,ART First Line Adult,DDI-3TC-EFV,164506,166186
53,ART First Line Adult,DDI-3TC-NVP,164506,165525
53,ART First Line Adult,TDF-3TC-AZT,164506,165522
53,ART First Line Adult,TDF-3TC-DTG,164506,165681
53,ART First Line Adult,TDF-3TC-EFV,164506,164505
53,ART First Line Adult,TDF-3TC-NVP,164506,162565
53,ART First Line Adult,TDF-FTC-DTG,164506,165682
53,ART First Line Adult,TDF-FTC-EFV,164506,104565
53,ART First Line Adult,TDF-FTC-NVP,164506,164854
53,ART Second Line Adult,ABC-3TC-ATV/r,164513,166092
53,ART Second Line Adult,ABC-3TC-LPV/r,164513,162200
53,ART Second Line Adult,ABC-AZT-LPV/r,164513,162564
53,ART Second Line Adult,ABC-DDI-LPV/r,164513,162559
53,ART Second Line Adult,ABC-DDI-SQV/r,164513,165541
53,ART Second Line Adult,AZT-3TC-ATV/r,164513,164511
53,ART Second Line Adult,AZT-3TC-DRV/r,164513,166192
53,ART Second Line Adult,AZT-3TC-IDV/r,164513,165534
53,ART Second Line Adult,AZT-3TC-LPV/r,164513,162561
53,ART Second Line Adult,AZT-3TC-SQV/r,164513,165529
53,ART Second Line Adult,D4T-3TC-IDV/r,164513,166190
53,ART Second Line Adult,D4T-3TC-LPV/r,164513,162560
53,ART Second Line Adult,DDI-3TC-IND/r,164513,166191
53,ART Second Line Adult,DDI-3TC-LPV/r,164513,166188
53,ART Second Line Adult,TDF-3TC-ATV/r,164513,164512
53,ART Second Line Adult,TDF-3TC-DRV/r,164513,166193
53,ART Second Line Adult,TDF-3TC-IDV/r,164513,165533
53,ART Second Line Adult,TDF-3TC-LPV/r,164513,162201
53,ART Second Line Adult,TDF-3TC-SQV/r,164513,165528
53,ART Second Line Adult,TDF-AZT-3TC-ATV/r,164513,165537
53,ART Second Line Adult,TDF-DDI-IDV/r,164513,165542
53,ART Second Line Adult,TDF-FTC-ATV/r,164513,165524
53,ART Second Line Adult,TDF-FTC-IDV/r,164513,165539
53,ART Second Line Adult,TDF-FTC-LPV/r,164513,165523
53,ART Second Line Adult,TDF-FTC-SQV/r,164513,165527
53,ART First Line Children,ABC-3TC-DTG,164507,165691
53,ART First Line Children,ABC-3TC-EFV,164507,162563
53,ART First Line Children,ABC-3TC-EFV400,164507,165693
53,ART First Line Children,ABC-3TC-LPV/r,164507,162200
53,ART First Line Children,ABC-3TC-NVP,164507,162199
53,ART First Line Children,ABC-FTC-DTG,164507,165692
53,ART First Line Children,ABC-FTC-EFV400,164507,165694
53,ART First Line Children,ABC-FTC-NVP,164507,165690
53,ART First Line Children,AZT-3TC-DTG,164507,166187
53,ART First Line Children,AZT-3TC-EFV,164507,160124
53,ART First Line Children,AZT-3TC-LPV/r,164507,162561
53,ART First Line Children,AZT-3TC-NVP,164507,1652
53,ART First Line Children,AZT-3TC-RAL,164507,165695
53,ART First Line Children,D4T-3TC-EFV,164507,160104
53,ART First Line Children,D4T-3TC-NVP,164507,792
53,ART First Line Children,DDI-3TC-EFV,164507,166186
53,ART First Line Children,TDF-3TC-DTG,164507,165681
53,ART First Line Children,TDF-3TC-EFV,164507,164505
53,ART First Line Children,TDF-3TC-EFV400,164507,165686
53,ART First Line Children,TDF-3TC-NVP,164507,162565
53,ART First Line Children,TDF-FTC-DTG,164507,165682
53,ART First Line Children,TDF-FTC-EFV,164507,104565
53,ART First Line Children,TDF-FTC-EFV400,164507,165687
53,ART First Line Children,TDF-FTC-NVP,164507,164854
53,ART Second Line Children,ABC-3TC-LPV/r,165703,162200
53,ART Second Line Children,AZT-3TC-LPV/r,165703,162561
53,ART Second Line Children,D4T-3TC-LPV/r,165703,162560
53,ART Second Line Children,DDI-3TC-LPV/r,165703,166188
53,ART Second Line Children,TDF-3TC-LPV/r,165703,162201
53,ART Second Line Children,TDF-FTC-LPV/r,165703,165523
